data;

param n := 18;

param:   xx     y    minT    maxT :=
   	1   31    170    100    200
    2   84    413    600    900
    3   22    173    900   1000
    4   103    453    500    800
    5   56    151    100    400
    6   103    319    300    500
    7   19    174    700   1000
    8   15    175    700    900
    9   83    410    500    900
   10   10    178    700    900
   11   28    181    800   1000
   12   125    435    300    500
   13   155    155      0    200
   14   12    175    700    900
   15   26    177    700   1000
   16   80    362    500    700
   17   33    161      0    100
   18   30    162      0    200;
